batch_id,line_id,timestamp,shift,product_type,material_batch,operator_team,planned_units,actual_units,good_units,avg_temperature,avg_vibration,avg_pressure,avg_cycle_time,avg_energy_consumption
B2026010816_L1,L1,2026-01-08 16:00:00,Evening,Steering Column,MAT-0108-L1,Team B,210,206,199,73.9,2.644,96.66,53.8,166.42
B2026010820_L1,L1,2026-01-08 20:00:00,Evening,Steering Column,MAT-0108-L1,Team C,183,185,178,74.67,2.641,97.44,54.05,167.24
B2026010900_L1,L1,2026-01-09 00:00:00,Night,SUV Frame,MAT-0109-L1,Team B,207,209,207,77.35,2.792,99.87,54.21,167.99
B2026010904_L1,L1,2026-01-09 04:00:00,Night,SUV Frame,MAT-0109-L1,Team C,208,199,193,77.92,2.708,101.0,54.41,168.18
B2026010908_L1,L1,2026-01-09 08:00:00,Day,SUV Frame,MAT-0109-L1,Team D,212,216,210,75.47,2.586,100.66,54.39,167.1
B2026010912_L1,L1,2026-01-09 12:00:00,Day,SUV Frame,MAT-0109-L1,Team A,221,209,205,74.45,2.588,97.51,54.56,167.08
B2026010916_L1,L1,2026-01-09 16:00:00,Evening,SUV Frame,MAT-0109-L1,Team B,195,190,181,74.14,2.683,96.71,54.81,167.35
B2026010920_L1,L1,2026-01-09 20:00:00,Evening,SUV Frame,MAT-0109-L1,Team C,232,228,223,74.83,2.622,97.66,53.8,166.75
B2026011000_L1,L1,2026-01-10 00:00:00,Night,Battery Module,MAT-0110-L1,Team B,217,212,205,77.07,2.77,100.18,54.55,167.68
B2026011004_L1,L1,2026-01-10 04:00:00,Night,Battery Module,MAT-0110-L1,Team C,204,200,187,78.1,2.766,101.62,54.37,167.84
B2026011008_L1,L1,2026-01-10 08:00:00,Day,Battery Module,MAT-0110-L1,Team D,188,189,185,75.57,2.636,100.33,54.27,167.27
B2026011012_L1,L1,2026-01-10 12:00:00,Day,Battery Module,MAT-0110-L1,Team A,191,187,170,74.01,2.628,98.16,54.39,167.06
B2026011016_L1,L1,2026-01-10 16:00:00,Evening,Battery Module,MAT-0110-L1,Team B,214,212,205,73.82,2.676,96.86,53.62,166.6
B2026011020_L1,L1,2026-01-10 20:00:00,Evening,Battery Module,MAT-0110-L1,Team C,218,216,207,74.86,2.698,97.32,54.16,167.27
B2026011100_L1,L1,2026-01-11 00:00:00,Night,Steering Column,MAT-0111-L1,Team B,219,219,208,77.5,2.808,100.12,54.39,168.2
B2026011104_L1,L1,2026-01-11 04:00:00,Night,Steering Column,MAT-0111-L1,Team C,201,193,186,78.53,2.734,101.53,54.27,168.21
B2026011108_L1,L1,2026-01-11 08:00:00,Day,Steering Column,MAT-0111-L1,Team D,189,180,174,75.88,2.643,100.58,54.56,167.84
B2026011112_L1,L1,2026-01-11 12:00:00,Day,Steering Column,MAT-0111-L1,Team A,206,198,188,74.05,2.699,97.67,54.16,166.18
B2026011116_L1,L1,2026-01-11 16:00:00,Evening,Steering Column,MAT-0111-L1,Team B,200,194,188,74.21,2.689,96.15,54.57,167.87
B2026011120_L1,L1,2026-01-11 20:00:00,Evening,Steering Column,MAT-0111-L1,Team C,208,202,189,74.47,2.743,97.64,54.69,167.73
B2026011200_L1,L1,2026-01-12 00:00:00,Night,SUV Frame,MAT-0112-L1,Team B,185,186,177,77.41,2.737,99.34,54.41,168.15
B2026011204_L1,L1,2026-01-12 04:00:00,Night,SUV Frame,MAT-0112-L1,Team C,224,217,208,77.91,2.743,101.43,54.08,168.1
B2026011208_L1,L1,2026-01-12 08:00:00,Day,SUV Frame,MAT-0112-L1,Team D,213,203,199,75.31,2.68,100.22,54.76,168.03
B2026011212_L1,L1,2026-01-12 12:00:00,Day,SUV Frame,MAT-0112-L1,Team A,238,237,227,74.31,2.666,97.94,54.1,167.2
B2026011216_L1,L1,2026-01-12 16:00:00,Evening,SUV Frame,MAT-0112-L1,Team B,186,175,168,73.94,2.738,96.78,54.28,166.53
B2026011220_L1,L1,2026-01-12 20:00:00,Evening,SUV Frame,MAT-0112-L1,Team C,201,198,191,74.69,2.694,97.26,54.07,167.06
B2026011300_L1,L1,2026-01-13 00:00:00,Night,Battery Module,MAT-0113-L1,Team B,199,192,182,76.62,2.807,99.69,55.14,168.68
B2026011304_L1,L1,2026-01-13 04:00:00,Night,Battery Module,MAT-0113-L1,Team C,183,170,159,78.2,2.803,101.54,54.83,168.46
B2026011308_L1,L1,2026-01-13 08:00:00,Day,Battery Module,MAT-0113-L1,Team D,191,186,178,75.65,2.681,100.61,55.2,168.41
B2026011312_L1,L1,2026-01-13 12:00:00,Day,Battery Module,MAT-0113-L1,Team A,184,186,173,74.02,2.653,97.5,54.68,167.25
B2026011316_L1,L1,2026-01-13 16:00:00,Evening,Battery Module,MAT-0113-L1,Team B,205,198,193,74.11,2.776,96.73,54.25,167.08
B2026011320_L1,L1,2026-01-13 20:00:00,Evening,Battery Module,MAT-0113-L1,Team C,199,190,188,74.51,2.756,97.86,54.49,167.09
B2026011400_L1,L1,2026-01-14 00:00:00,Night,Steering Column,MAT-0114-L1,Team B,202,203,191,77.01,2.881,99.71,54.42,168.3
B2026011404_L1,L1,2026-01-14 04:00:00,Night,Steering Column,MAT-0114-L1,Team C,188,189,182,77.96,2.857,101.2,54.57,169.22
B2026011408_L1,L1,2026-01-14 08:00:00,Day,Steering Column,MAT-0114-L1,Team D,198,187,181,75.61,2.68,100.31,54.64,167.8
B2026011412_L1,L1,2026-01-14 12:00:00,Day,Steering Column,MAT-0114-L1,Team A,219,214,207,74.1,2.69,97.94,54.58,167.54
B2026011416_L1,L1,2026-01-14 16:00:00,Evening,Steering Column,MAT-0114-L1,Team B,210,216,209,74.07,2.82,96.08,54.54,167.54
B2026011420_L1,L1,2026-01-14 20:00:00,Evening,Steering Column,MAT-0114-L1,Team C,180,181,176,74.52,2.749,97.82,54.58,168.26
B2026011500_L1,L1,2026-01-15 00:00:00,Night,SUV Frame,MAT-0115-L1,Team B,203,194,186,76.59,2.876,99.35,54.23,168.22
B2026011504_L1,L1,2026-01-15 04:00:00,Night,SUV Frame,MAT-0115-L1,Team C,224,216,205,78.04,2.817,101.38,54.9,169.31
B2026011508_L1,L1,2026-01-15 08:00:00,Day,SUV Frame,MAT-0115-L1,Team D,230,233,224,75.57,2.715,100.35,54.74,167.89
B2026011512_L1,L1,2026-01-15 12:00:00,Day,SUV Frame,MAT-0115-L1,Team A,186,189,185,73.66,2.696,98.14,54.31,166.28
B2026011516_L1,L1,2026-01-15 16:00:00,Evening,SUV Frame,MAT-0115-L1,Team B,239,231,226,74.36,2.775,95.99,54.79,167.01
B2026011520_L1,L1,2026-01-15 20:00:00,Evening,SUV Frame,MAT-0115-L1,Team C,194,195,191,74.7,2.784,97.01,54.38,167.68
B2026011600_L1,L1,2026-01-16 00:00:00,Night,Battery Module,MAT-0116-L1,Team B,222,214,206,77.46,2.885,99.92,54.85,168.86
B2026011604_L1,L1,2026-01-16 04:00:00,Night,Battery Module,MAT-0116-L1,Team C,181,178,163,78.05,2.84,101.14,54.36,168.76
B2026011608_L1,L1,2026-01-16 08:00:00,Day,Battery Module,MAT-0116-L1,Team D,180,178,171,75.44,2.719,100.47,54.63,167.58
B2026011612_L1,L1,2026-01-16 12:00:00,Day,Battery Module,MAT-0116-L1,Team A,220,220,213,74.1,2.729,98.23,55.03,168.56
B2026011616_L1,L1,2026-01-16 16:00:00,Evening,Battery Module,MAT-0116-L1,Team B,190,187,175,74.08,2.789,96.2,54.64,167.69
B2026011620_L1,L1,2026-01-16 20:00:00,Evening,Battery Module,MAT-0116-L1,Team C,205,206,194,74.84,2.802,97.6,54.92,167.85
B2026011700_L1,L1,2026-01-17 00:00:00,Night,Steering Column,MAT-0117-L1,Team B,212,214,210,77.02,2.908,100.04,54.06,169.08
B2026011704_L1,L1,2026-01-17 04:00:00,Night,Steering Column,MAT-0117-L1,Team C,239,231,222,78.52,2.898,101.16,55.17,168.94
B2026011708_L1,L1,2026-01-17 08:00:00,Day,Steering Column,MAT-0117-L1,Team D,212,205,202,75.64,2.822,100.4,54.72,168.08
B2026011712_L1,L1,2026-01-17 12:00:00,Day,Steering Column,MAT-0117-L1,Team A,229,227,217,73.85,2.766,97.86,54.79,167.54
B2026011716_L1,L1,2026-01-17 16:00:00,Evening,Steering Column,MAT-0117-L1,Team B,207,201,197,74.31,2.855,97.0,55.09,168.3
B2026011720_L1,L1,2026-01-17 20:00:00,Evening,Steering Column,MAT-0117-L1,Team C,197,196,189,74.45,2.848,97.3,54.85,167.83
B2026011800_L1,L1,2026-01-18 00:00:00,Night,SUV Frame,MAT-0118-L1,Team B,236,238,228,77.28,2.944,99.72,54.64,168.38
B2026011804_L1,L1,2026-01-18 04:00:00,Night,SUV Frame,MAT-0118-L1,Team C,229,218,212,77.83,2.964,101.08,55.45,169.76
B2026011808_L1,L1,2026-01-18 08:00:00,Day,SUV Frame,MAT-0118-L1,Team D,208,203,193,75.89,2.781,100.27,54.75,167.49
B2026011812_L1,L1,2026-01-18 12:00:00,Day,SUV Frame,MAT-0118-L1,Team A,208,200,188,73.98,2.729,98.11,54.47,167.75
B2026011816_L1,L1,2026-01-18 16:00:00,Evening,SUV Frame,MAT-0118-L1,Team B,181,178,169,74.06,2.815,96.32,54.35,167.87
B2026011820_L1,L1,2026-01-18 20:00:00,Evening,SUV Frame,MAT-0118-L1,Team C,216,209,205,74.46,2.867,97.26,54.8,168.25
B2026011900_L1,L1,2026-01-19 00:00:00,Night,Battery Module,MAT-0119-L1,Team B,222,225,220,77.13,2.926,99.72,54.44,168.19
B2026011904_L1,L1,2026-01-19 04:00:00,Night,Battery Module,MAT-0119-L1,Team C,222,222,209,78.08,2.959,101.23,55.2,169.47
B2026011908_L1,L1,2026-01-19 08:00:00,Day,Battery Module,MAT-0119-L1,Team D,196,185,171,75.37,2.819,100.35,55.12,168.35
B2026011912_L1,L1,2026-01-19 12:00:00,Day,Battery Module,MAT-0119-L1,Team A,230,227,219,73.96,2.813,97.61,54.78,167.75
B2026011916_L1,L1,2026-01-19 16:00:00,Evening,Battery Module,MAT-0119-L1,Team B,191,189,177,73.64,2.813,96.21,54.44,167.23
B2026011920_L1,L1,2026-01-19 20:00:00,Evening,Battery Module,MAT-0119-L1,Team C,199,198,190,74.43,2.896,97.09,54.65,168.58
B2026012000_L1,L1,2026-01-20 00:00:00,Night,Steering Column,MAT-0120-L1,Team B,189,182,173,77.12,2.976,99.24,54.89,169.15
B2026012004_L1,L1,2026-01-20 04:00:00,Night,Steering Column,MAT-0120-L1,Team C,184,186,176,77.9,2.926,100.81,54.56,168.98
B2026012008_L1,L1,2026-01-20 08:00:00,Day,Steering Column,MAT-0120-L1,Team D,235,224,214,75.75,2.809,100.37,55.08,168.29
B2026012012_L1,L1,2026-01-20 12:00:00,Day,Steering Column,MAT-0120-L1,Team A,221,215,207,74.15,2.819,97.92,55.47,168.44
B2026012016_L1,L1,2026-01-20 16:00:00,Evening,Steering Column,MAT-0120-L1,Team B,209,206,197,74.28,2.92,96.61,54.66,168.3
B2026012020_L1,L1,2026-01-20 20:00:00,Evening,Steering Column,MAT-0120-L1,Team C,203,196,186,74.57,2.903,97.3,55.3,168.84
B2026012100_L1,L1,2026-01-21 00:00:00,Night,SUV Frame,MAT-0121-L1,Team B,214,211,201,77.37,3.025,99.33,54.45,168.93
B2026012104_L1,L1,2026-01-21 04:00:00,Night,SUV Frame,MAT-0121-L1,Team C,228,218,213,77.82,2.991,100.65,55.18,169.21
B2026012108_L1,L1,2026-01-21 08:00:00,Day,SUV Frame,MAT-0121-L1,Team D,197,188,180,75.34,2.843,100.28,55.15,168.36
B2026012112_L1,L1,2026-01-21 12:00:00,Day,SUV Frame,MAT-0121-L1,Team A,231,229,224,74.29,2.843,98.43,55.11,168.08
B2026012116_L1,L1,2026-01-21 16:00:00,Evening,SUV Frame,MAT-0121-L1,Team B,197,194,180,73.65,2.981,95.79,54.89,168.07
B2026012120_L1,L1,2026-01-21 20:00:00,Evening,SUV Frame,MAT-0121-L1,Team C,213,202,199,74.48,2.931,97.27,54.96,168.35
B2026012200_L1,L1,2026-01-22 00:00:00,Night,Battery Module,MAT-0122-L1,Team B,204,201,193,76.93,2.966,99.64,55.35,169.26
B2026012204_L1,L1,2026-01-22 04:00:00,Night,Battery Module,MAT-0122-L1,Team C,223,211,203,77.97,2.979,101.11,55.55,169.63
B2026012208_L1,L1,2026-01-22 08:00:00,Day,Battery Module,MAT-0122-L1,Team D,232,229,226,75.54,2.834,99.82,55.36,168.43
B2026012212_L1,L1,2026-01-22 12:00:00,Day,Battery Module,MAT-0122-L1,Team A,201,201,187,74.14,2.88,97.83,55.34,168.33
B2026012216_L1,L1,2026-01-22 16:00:00,Evening,Battery Module,MAT-0122-L1,Team B,225,236,230,73.98,3.0,96.58,54.95,167.77
B2026012220_L1,L1,2026-01-22 20:00:00,Evening,Battery Module,MAT-0122-L1,Team C,221,216,207,74.72,2.931,97.15,55.57,168.93
B2026012300_L1,L1,2026-01-23 00:00:00,Night,Steering Column,MAT-0123-L1,Team B,237,231,221,77.12,3.007,99.57,55.25,169.04
B2026012304_L1,L1,2026-01-23 04:00:00,Night,Steering Column,MAT-0123-L1,Team C,230,222,209,77.85,3.084,101.43,55.24,169.58
B2026012308_L1,L1,2026-01-23 08:00:00,Day,Steering Column,MAT-0123-L1,Team D,194,183,172,75.39,2.892,99.69,55.32,168.86
B2026012312_L1,L1,2026-01-23 12:00:00,Day,Steering Column,MAT-0123-L1,Team A,235,235,227,74.13,2.886,97.59,54.98,167.97
B2026012316_L1,L1,2026-01-23 16:00:00,Evening,Steering Column,MAT-0123-L1,Team B,217,220,218,74.68,2.95,96.16,55.04,168.31
B2026012320_L1,L1,2026-01-23 20:00:00,Evening,Steering Column,MAT-0123-L1,Team C,211,212,201,74.4,3.035,97.61,55.37,169.14
B2026012400_L1,L1,2026-01-24 00:00:00,Night,SUV Frame,MAT-0124-L1,Team B,223,221,208,76.78,3.077,99.59,55.98,170.18
B2026012404_L1,L1,2026-01-24 04:00:00,Night,SUV Frame,MAT-0124-L1,Team C,239,234,222,77.91,3.03,101.17,55.55,170.37
B2026012408_L1,L1,2026-01-24 08:00:00,Day,SUV Frame,MAT-0124-L1,Team D,211,204,196,75.51,2.911,100.26,55.3,168.74
B2026012412_L1,L1,2026-01-24 12:00:00,Day,SUV Frame,MAT-0124-L1,Team A,225,220,208,74.14,2.863,97.82,55.64,169.53
B2026012416_L1,L1,2026-01-24 16:00:00,Evening,SUV Frame,MAT-0124-L1,Team B,238,228,220,74.04,3.006,97.01,55.29,168.46
B2026012420_L1,L1,2026-01-24 20:00:00,Evening,SUV Frame,MAT-0124-L1,Team C,190,182,177,74.53,2.978,97.83,55.48,169.06
B2026012500_L1,L1,2026-01-25 00:00:00,Night,Battery Module,MAT-0125-L1,Team B,189,187,174,77.11,3.146,99.67,55.52,169.35
B2026012504_L1,L1,2026-01-25 04:00:00,Night,Battery Module,MAT-0125-L1,Team C,210,204,192,78.13,3.031,100.95,55.64,170.18
B2026012508_L1,L1,2026-01-25 08:00:00,Day,Battery Module,MAT-0125-L1,Team D,234,232,224,75.68,2.912,99.98,55.79,168.83
B2026012512_L1,L1,2026-01-25 12:00:00,Day,Battery Module,MAT-0125-L1,Team A,213,204,190,73.76,2.905,98.11,54.96,168.44
B2026012516_L1,L1,2026-01-25 16:00:00,Evening,Battery Module,MAT-0125-L1,Team B,206,208,199,74.3,3.027,96.69,55.5,168.17
B2026012520_L1,L1,2026-01-25 20:00:00,Evening,Battery Module,MAT-0125-L1,Team C,204,202,194,74.52,3.02,96.77,55.23,169.21
B2026012600_L1,L1,2026-01-26 00:00:00,Night,Steering Column,MAT-0126-L1,Team B,196,193,184,76.77,3.038,99.63,55.33,168.89
B2026012604_L1,L1,2026-01-26 04:00:00,Night,Steering Column,MAT-0126-L1,Team C,220,210,197,78.31,3.026,101.12,55.13,169.24
B2026012608_L1,L1,2026-01-26 08:00:00,Day,Steering Column,MAT-0126-L1,Team D,183,181,171,75.92,3.012,100.15,55.16,168.98
B2026012612_L1,L1,2026-01-26 12:00:00,Day,Steering Column,MAT-0126-L1,Team A,223,218,210,74.32,2.879,97.61,55.72,168.57
B2026012616_L1,L1,2026-01-26 16:00:00,Evening,Steering Column,MAT-0126-L1,Team B,183,192,184,74.22,3.021,96.96,55.01,168.21
B2026012620_L1,L1,2026-01-26 20:00:00,Evening,Steering Column,MAT-0126-L1,Team C,211,204,196,74.8,3.004,97.23,55.25,169.33
B2026012700_L1,L1,2026-01-27 00:00:00,Night,SUV Frame,MAT-0127-L1,Team B,234,217,212,77.44,3.023,99.83,54.89,169.03
B2026012704_L1,L1,2026-01-27 04:00:00,Night,SUV Frame,MAT-0127-L1,Team C,199,196,182,78.44,3.063,100.83,55.44,169.79
B2026012708_L1,L1,2026-01-27 08:00:00,Day,SUV Frame,MAT-0127-L1,Team D,186,181,174,75.42,2.943,100.29,55.68,168.69
B2026012712_L1,L1,2026-01-27 12:00:00,Day,SUV Frame,MAT-0127-L1,Team A,195,199,187,74.12,2.965,97.73,55.23,169.06
B2026012716_L1,L1,2026-01-27 16:00:00,Evening,SUV Frame,MAT-0127-L1,Team B,200,191,185,74.27,3.025,96.14,55.15,168.75
B2026012720_L1,L1,2026-01-27 20:00:00,Evening,SUV Frame,MAT-0127-L1,Team C,231,227,222,74.59,3.016,97.21,54.63,168.16
B2026012800_L1,L1,2026-01-28 00:00:00,Night,Battery Module,MAT-0128-L1,Team B,211,202,196,76.98,3.153,99.16,56.23,170.52
B2026012804_L1,L1,2026-01-28 04:00:00,Night,Battery Module,MAT-0128-L1,Team C,233,238,237,77.74,3.182,100.95,55.4,169.78
B2026012808_L1,L1,2026-01-28 08:00:00,Day,Battery Module,MAT-0128-L1,Team D,190,186,177,75.36,2.963,99.84,54.97,168.79
B2026012812_L1,L1,2026-01-28 12:00:00,Day,Battery Module,MAT-0128-L1,Team A,231,226,213,73.82,2.956,97.66,55.36,168.29
B2026012816_L1,L1,2026-01-28 16:00:00,Evening,Battery Module,MAT-0128-L1,Team B,193,185,175,73.9,3.066,96.53,55.66,169.34
B2026012820_L1,L1,2026-01-28 20:00:00,Evening,Battery Module,MAT-0128-L1,Team C,202,208,200,74.83,3.126,96.9,55.66,169.54
B2026012900_L1,L1,2026-01-29 00:00:00,Night,Steering Column,MAT-0129-L1,Team B,239,236,231,77.36,3.119,99.97,55.34,170.15
B2026012904_L1,L1,2026-01-29 04:00:00,Night,Steering Column,MAT-0129-L1,Team C,218,217,206,77.77,3.147,100.86,55.95,170.73
B2026012908_L1,L1,2026-01-29 08:00:00,Day,Steering Column,MAT-0129-L1,Team D,234,235,228,75.63,3.01,99.61,55.99,169.45
B2026012912_L1,L1,2026-01-29 12:00:00,Day,Steering Column,MAT-0129-L1,Team A,185,181,174,74.04,2.968,98.04,56.14,169.13
B2026012916_L1,L1,2026-01-29 16:00:00,Evening,Steering Column,MAT-0129-L1,Team B,238,232,222,73.83,3.015,96.43,55.86,169.02
B2026012920_L1,L1,2026-01-29 20:00:00,Evening,Steering Column,MAT-0129-L1,Team C,217,214,212,74.29,3.087,97.25,55.32,168.97
B2026013000_L1,L1,2026-01-30 00:00:00,Night,SUV Frame,MAT-0130-L1,Team B,207,212,206,77.1,3.185,99.25,55.76,169.83
B2026013004_L1,L1,2026-01-30 04:00:00,Night,SUV Frame,MAT-0130-L1,Team C,223,222,214,78.18,3.099,100.16,55.13,169.33
B2026013008_L1,L1,2026-01-30 08:00:00,Day,SUV Frame,MAT-0130-L1,Team D,214,209,198,75.58,3.035,99.71,55.4,169.45
B2026013012_L1,L1,2026-01-30 12:00:00,Day,SUV Frame,MAT-0130-L1,Team A,198,194,175,73.98,3.003,97.7,55.84,168.48
B2026013016_L1,L1,2026-01-30 16:00:00,Evening,SUV Frame,MAT-0130-L1,Team B,194,194,184,74.04,3.114,96.75,55.85,169.65
B2026013020_L1,L1,2026-01-30 20:00:00,Evening,SUV Frame,MAT-0130-L1,Team C,231,222,215,75.14,3.093,96.95,55.67,169.32
B2026013100_L1,L1,2026-01-31 00:00:00,Night,Battery Module,MAT-0131-L1,Team B,229,218,213,77.4,3.225,99.01,55.8,170.68
B2026013104_L1,L1,2026-01-31 04:00:00,Night,Battery Module,MAT-0131-L1,Team C,193,188,186,78.04,3.171,100.89,55.38,169.94
B2026013108_L1,L1,2026-01-31 08:00:00,Day,Battery Module,MAT-0131-L1,Team D,217,213,205,75.57,3.078,99.65,56.39,169.89
B2026013112_L1,L1,2026-01-31 12:00:00,Day,Battery Module,MAT-0131-L1,Team A,219,213,204,74.28,3.065,97.36,55.92,169.32
B2026013116_L1,L1,2026-01-31 16:00:00,Evening,Battery Module,MAT-0131-L1,Team B,200,194,180,74.21,3.094,96.11,55.42,168.46
