quality_check_id,batch_id,machine_id,line_id,timestamp,shift,temperature,vibration,pressure,cycle_time,energy_consumption,machine_age_years,maintenance_status,product_type,material_batch,operator_team,pressure_instability,defect_probability,defect_flag,defect_type,defect_count
QC_M001_2026011116,B2026011116_L1,M001,L1,2026-01-11 16:00:00,Evening,77.04,1.792,89.75,63.02,174.46,3,scheduled,SUV Frame,MAT-0111-L1,Team B,3.39,0.0173,0,None,0
QC_M001_2026011120,B2026011120_L1,M001,L1,2026-01-11 20:00:00,Evening,77.31,1.94,91.09,62.77,172.33,3,scheduled,SUV Frame,MAT-0111-L1,Team C,2.05,0.0184,0,None,0
QC_M001_2026011200,B2026011200_L1,M001,L1,2026-01-12 00:00:00,Night,81.37,2.18,93.95,62.09,175.34,3,scheduled,Battery Module,MAT-0112-L1,Team B,1.23,0.0404,0,None,0
QC_M001_2026011204,B2026011204_L1,M001,L1,2026-01-12 04:00:00,Night,81.78,2.017,95.11,61.95,172.99,3,scheduled,Battery Module,MAT-0112-L1,Team C,2.42,0.0382,0,None,0
QC_M001_2026011208,B2026011208_L1,M001,L1,2026-01-12 08:00:00,Day,78.47,1.996,94.09,61.67,174.23,3,scheduled,Battery Module,MAT-0112-L1,Team D,1.75,0.0205,0,None,0
QC_M001_2026011212,B2026011212_L1,M001,L1,2026-01-12 12:00:00,Day,77.43,1.912,91.11,61.07,174.24,3,scheduled,Battery Module,MAT-0112-L1,Team A,2.96,0.018,0,None,0
QC_M001_2026011216,B2026011216_L1,M001,L1,2026-01-12 16:00:00,Evening,77.11,2.052,88.93,63.04,172.18,3,scheduled,Battery Module,MAT-0112-L1,Team B,4.21,0.0252,0,None,0
QC_M001_2026011220,B2026011220_L1,M001,L1,2026-01-12 20:00:00,Evening,77.57,1.853,92.73,61.49,172.29,3,scheduled,Battery Module,MAT-0112-L1,Team C,1.05,0.0154,0,None,0
QC_M001_2026011300,B2026011300_L1,M001,L1,2026-01-13 00:00:00,Night,80.41,1.839,91.58,63.11,173.02,3,scheduled,Steering Column,MAT-0113-L1,Team B,1.58,0.0267,0,None,0
QC_M001_2026011304,B2026011304_L1,M001,L1,2026-01-13 04:00:00,Night,81.68,2.012,95.3,61.63,175.56,3,scheduled,Steering Column,MAT-0113-L1,Team C,2.16,0.0362,0,None,0
QC_M001_2026011308,B2026011308_L1,M001,L1,2026-01-13 08:00:00,Day,78.56,1.911,94.69,61.91,174.63,3,scheduled,Steering Column,MAT-0113-L1,Team D,1.78,0.0188,0,None,0
QC_M001_2026011312,B2026011312_L1,M001,L1,2026-01-13 12:00:00,Day,77.72,1.918,92.28,63.87,175.3,3,scheduled,Steering Column,MAT-0113-L1,Team A,1.02,0.0185,0,None,0
QC_M001_2026011316,B2026011316_L1,M001,L1,2026-01-13 16:00:00,Evening,76.86,1.893,90.73,62.01,174.3,3,scheduled,Steering Column,MAT-0113-L1,Team B,2.41,0.0169,0,None,0
QC_M001_2026011320,B2026011320_L1,M001,L1,2026-01-13 20:00:00,Evening,77.64,2.204,91.95,61.72,175.51,3,scheduled,Steering Column,MAT-0113-L1,Team C,3.15,0.0271,0,None,0
QC_M001_2026011400,B2026011400_L1,M001,L1,2026-01-14 00:00:00,Night,80.83,1.939,93.61,61.88,172.95,3,scheduled,SUV Frame,MAT-0114-L1,Team B,1.23,0.0291,0,None,0
QC_M001_2026011404,B2026011404_L1,M001,L1,2026-01-14 04:00:00,Night,81.91,2.04,94.09,63.02,177.22,3,scheduled,SUV Frame,MAT-0114-L1,Team C,2.16,0.0405,0,None,0
QC_M001_2026011408,B2026011408_L1,M001,L1,2026-01-14 08:00:00,Day,79.35,1.883,93.45,63.51,175.4,3,scheduled,SUV Frame,MAT-0114-L1,Team D,1.16,0.02,0,None,0
QC_M001_2026011412,B2026011412_L1,M001,L1,2026-01-14 12:00:00,Day,78.68,1.885,92.3,63.11,175.34,3,scheduled,SUV Frame,MAT-0114-L1,Team A,0.84,0.0176,0,None,1
QC_M001_2026011416,B2026011416_L1,M001,L1,2026-01-14 16:00:00,Evening,77.0,2.189,90.25,63.09,175.5,3,scheduled,SUV Frame,MAT-0114-L1,Team B,2.88,0.0259,0,None,1
QC_M001_2026011420,B2026011420_L1,M001,L1,2026-01-14 20:00:00,Evening,78.1,1.962,91.13,62.48,174.69,3,scheduled,SUV Frame,MAT-0114-L1,Team C,2.01,0.0201,0,None,0
QC_M001_2026011500,B2026011500_L1,M001,L1,2026-01-15 00:00:00,Night,80.44,2.001,94.33,62.05,175.51,3,scheduled,Battery Module,MAT-0115-L1,Team B,2.03,0.0308,0,None,0
QC_M001_2026011504,B2026011504_L1,M001,L1,2026-01-15 04:00:00,Night,81.67,2.224,96.19,62.24,175.94,3,scheduled,Battery Module,MAT-0115-L1,Team C,3.05,0.0495,1,Surface,1
QC_M001_2026011508,B2026011508_L1,M001,L1,2026-01-15 08:00:00,Day,78.56,1.948,94.96,61.39,173.86,3,scheduled,Battery Module,MAT-0115-L1,Team D,1.83,0.0186,0,None,0
QC_M001_2026011512,B2026011512_L1,M001,L1,2026-01-15 12:00:00,Day,76.62,1.914,90.94,63.78,174.38,3,scheduled,Battery Module,MAT-0115-L1,Team A,2.42,0.0181,0,None,0
QC_M001_2026011516,B2026011516_L1,M001,L1,2026-01-15 16:00:00,Evening,76.8,2.092,90.52,63.09,172.99,3,scheduled,Battery Module,MAT-0115-L1,Team B,2.62,0.023,0,None,1
QC_M001_2026011520,B2026011520_L1,M001,L1,2026-01-15 20:00:00,Evening,77.93,2.341,91.49,61.85,176.99,3,scheduled,Battery Module,MAT-0115-L1,Team C,1.69,0.0293,0,None,0
QC_M001_2026011600,B2026011600_L1,M001,L1,2026-01-16 00:00:00,Night,81.91,2.061,93.72,63.27,176.39,3,scheduled,Steering Column,MAT-0116-L1,Team B,1.61,0.0404,0,None,0
QC_M001_2026011604,B2026011604_L1,M001,L1,2026-01-16 04:00:00,Night,80.64,2.321,95.98,61.76,175.78,3,scheduled,Steering Column,MAT-0116-L1,Team C,2.84,0.0491,0,None,0
QC_M001_2026011608,B2026011608_L1,M001,L1,2026-01-16 08:00:00,Day,79.92,1.925,95.02,63.37,175.03,3,scheduled,Steering Column,MAT-0116-L1,Team D,1.88,0.0232,0,None,1
QC_M001_2026011612,B2026011612_L1,M001,L1,2026-01-16 12:00:00,Day,77.35,1.982,92.78,64.78,176.04,3,scheduled,Steering Column,MAT-0116-L1,Team A,1.27,0.0201,0,None,0
QC_M001_2026011616,B2026011616_L1,M001,L1,2026-01-16 16:00:00,Evening,77.22,1.941,90.91,62.7,172.47,3,scheduled,Steering Column,MAT-0116-L1,Team B,2.23,0.0182,0,None,0
QC_M001_2026011620,B2026011620_L1,M001,L1,2026-01-16 20:00:00,Evening,78.51,1.997,89.15,63.0,174.38,3,scheduled,Steering Column,MAT-0116-L1,Team C,3.99,0.0261,0,None,0
QC_M001_2026011700,B2026011700_L1,M001,L1,2026-01-17 00:00:00,Night,81.29,2.158,93.63,62.61,174.21,3,scheduled,SUV Frame,MAT-0117-L1,Team B,0.83,0.0384,0,None,0
QC_M001_2026011704,B2026011704_L1,M001,L1,2026-01-17 04:00:00,Night,81.2,2.161,95.62,63.51,177.83,3,scheduled,SUV Frame,MAT-0117-L1,Team C,2.48,0.0438,0,None,0
QC_M001_2026011708,B2026011708_L1,M001,L1,2026-01-17 08:00:00,Day,78.7,2.066,93.31,61.45,173.05,3,scheduled,SUV Frame,MAT-0117-L1,Team D,1.19,0.0211,0,None,0
QC_M001_2026011712,B2026011712_L1,M001,L1,2026-01-17 12:00:00,Day,76.33,2.112,92.34,63.25,178.0,3,scheduled,SUV Frame,MAT-0117-L1,Team A,1.41,0.0202,0,None,0
QC_M001_2026011716,B2026011716_L1,M001,L1,2026-01-17 16:00:00,Evening,78.16,2.083,91.18,64.0,176.35,3,scheduled,SUV Frame,MAT-0117-L1,Team B,1.96,0.0246,0,None,0
QC_M001_2026011720,B2026011720_L1,M001,L1,2026-01-17 20:00:00,Evening,78.47,2.159,91.31,62.7,176.99,3,scheduled,SUV Frame,MAT-0117-L1,Team C,1.93,0.0255,0,None,0
QC_M001_2026011800,B2026011800_L1,M001,L1,2026-01-18 00:00:00,Night,80.26,2.2,92.35,63.79,175.62,3,scheduled,Battery Module,MAT-0118-L1,Team B,1.88,0.0402,0,None,0
QC_M001_2026011804,B2026011804_L1,M001,L1,2026-01-18 04:00:00,Night,81.19,2.413,95.51,64.58,179.25,3,scheduled,Battery Module,MAT-0118-L1,Team C,3.15,0.0654,0,None,0
QC_M001_2026011808,B2026011808_L1,M001,L1,2026-01-18 08:00:00,Day,79.74,2.09,94.99,63.4,175.15,3,scheduled,Battery Module,MAT-0118-L1,Team D,1.85,0.0266,0,None,0
QC_M001_2026011812,B2026011812_L1,M001,L1,2026-01-18 12:00:00,Day,78.05,2.033,91.3,62.62,172.95,3,scheduled,Battery Module,MAT-0118-L1,Team A,1.85,0.021,0,None,0
QC_M001_2026011816,B2026011816_L1,M001,L1,2026-01-18 16:00:00,Evening,76.99,2.308,89.86,64.07,176.93,3,scheduled,Battery Module,MAT-0118-L1,Team B,3.28,0.0317,0,None,0
QC_M001_2026011820,B2026011820_L1,M001,L1,2026-01-18 20:00:00,Evening,77.54,2.119,90.94,64.55,175.91,3,scheduled,Battery Module,MAT-0118-L1,Team C,2.2,0.0251,0,None,0
QC_M001_2026011900,B2026011900_L1,M001,L1,2026-01-19 00:00:00,Night,80.77,2.147,92.91,62.68,175.99,3,scheduled,Steering Column,MAT-0119-L1,Team B,1.51,0.0366,0,None,0
QC_M001_2026011904,B2026011904_L1,M001,L1,2026-01-19 04:00:00,Night,81.11,2.302,94.07,62.34,176.74,3,scheduled,Steering Column,MAT-0119-L1,Team C,1.85,0.047,0,None,0
QC_M001_2026011908,B2026011908_L1,M001,L1,2026-01-19 08:00:00,Day,79.19,2.006,94.23,62.74,175.63,3,scheduled,Steering Column,MAT-0119-L1,Team D,1.95,0.0226,0,None,0
QC_M001_2026011912,B2026011912_L1,M001,L1,2026-01-19 12:00:00,Day,77.11,2.084,92.77,61.87,173.5,3,scheduled,Steering Column,MAT-0119-L1,Team A,1.5,0.0198,0,None,0
QC_M001_2026011916,B2026011916_L1,M001,L1,2026-01-19 16:00:00,Evening,77.2,2.026,90.69,65.11,176.38,3,scheduled,Steering Column,MAT-0119-L1,Team B,3.28,0.0246,0,None,0
QC_M001_2026011920,B2026011920_L1,M001,L1,2026-01-19 20:00:00,Evening,77.05,2.222,92.24,63.44,177.21,3,scheduled,Steering Column,MAT-0119-L1,Team C,0.9,0.0227,0,None,0
QC_M001_2026012000,B2026012000_L1,M001,L1,2026-01-20 00:00:00,Night,80.49,2.232,93.62,63.23,178.55,3,overdue,SUV Frame,MAT-0120-L1,Team B,0.72,0.0379,0,None,0
QC_M001_2026012004,B2026012004_L1,M001,L1,2026-01-20 04:00:00,Night,82.61,2.189,94.45,61.75,174.95,3,overdue,SUV Frame,MAT-0120-L1,Team C,1.39,0.046,0,None,0
QC_M001_2026012008,B2026012008_L1,M001,L1,2026-01-20 08:00:00,Day,79.53,2.285,92.78,64.85,176.16,3,overdue,SUV Frame,MAT-0120-L1,Team D,1.66,0.0342,0,None,0
QC_M001_2026012012,B2026012012_L1,M001,L1,2026-01-20 12:00:00,Day,78.06,2.174,92.88,63.03,175.85,3,overdue,SUV Frame,MAT-0120-L1,Team A,0.91,0.0231,1,Electrical,0
QC_M001_2026012016,B2026012016_L1,M001,L1,2026-01-20 16:00:00,Evening,77.22,2.182,90.77,62.62,171.56,3,overdue,SUV Frame,MAT-0120-L1,Team B,3.58,0.0269,0,None,0
QC_M001_2026012020,B2026012020_L1,M001,L1,2026-01-20 20:00:00,Evening,77.91,2.203,90.91,62.94,174.95,3,overdue,SUV Frame,MAT-0120-L1,Team C,2.23,0.0262,0,None,1
QC_M001_2026012100,B2026012100_L1,M001,L1,2026-01-21 00:00:00,Night,81.46,2.352,91.14,63.97,178.06,3,overdue,Battery Module,MAT-0121-L1,Team B,2.0,0.0557,0,None,1
QC_M001_2026012104,B2026012104_L1,M001,L1,2026-01-21 04:00:00,Night,82.81,2.395,93.82,62.89,175.31,3,overdue,Battery Module,MAT-0121-L1,Team C,1.33,0.0595,0,None,1
QC_M001_2026012108,B2026012108_L1,M001,L1,2026-01-21 08:00:00,Day,79.58,2.201,92.92,62.52,175.55,3,overdue,Battery Module,MAT-0121-L1,Team D,1.73,0.0287,0,None,0
QC_M001_2026012112,B2026012112_L1,M001,L1,2026-01-21 12:00:00,Day,77.12,2.066,92.05,63.69,174.89,3,overdue,Battery Module,MAT-0121-L1,Team A,1.79,0.0211,0,None,0
QC_M001_2026012116,B2026012116_L1,M001,L1,2026-01-21 16:00:00,Evening,76.41,2.151,91.33,63.19,175.12,3,recent,Battery Module,MAT-0121-L1,Team B,2.44,0.0225,0,None,0
QC_M001_2026012120,B2026012120_L1,M001,L1,2026-01-21 20:00:00,Evening,75.35,2.316,90.83,62.83,176.94,3,recent,Battery Module,MAT-0121-L1,Team C,2.31,0.0235,0,None,0
QC_M001_2026012200,B2026012200_L1,M001,L1,2026-01-22 00:00:00,Night,79.81,2.151,92.96,61.97,174.76,3,recent,Steering Column,MAT-0122-L1,Team B,1.06,0.0305,0,None,0
QC_M001_2026012204,B2026012204_L1,M001,L1,2026-01-22 04:00:00,Night,79.96,2.14,94.46,62.96,176.34,3,recent,Steering Column,MAT-0122-L1,Team C,1.41,0.0318,0,None,0
QC_M001_2026012208,B2026012208_L1,M001,L1,2026-01-22 08:00:00,Day,77.61,2.08,94.77,62.32,175.52,3,recent,Steering Column,MAT-0122-L1,Team D,1.63,0.0202,0,None,0
QC_M001_2026012212,B2026012212_L1,M001,L1,2026-01-22 12:00:00,Day,75.07,1.992,90.74,63.88,175.49,3,recent,Steering Column,MAT-0122-L1,Team A,2.4,0.0173,0,None,0
QC_M001_2026012216,B2026012216_L1,M001,L1,2026-01-22 16:00:00,Evening,76.62,2.22,91.42,62.5,175.24,3,recent,Steering Column,MAT-0122-L1,Team B,2.13,0.0226,0,None,0
QC_M001_2026012220,B2026012220_L1,M001,L1,2026-01-22 20:00:00,Evening,76.03,2.181,90.48,61.95,174.86,3,recent,Steering Column,MAT-0122-L1,Team C,2.66,0.0211,0,None,0
