machine_id,line_id,timestamp,shift,temperature,vibration,pressure,cycle_time,energy_consumption,machine_age_years,maintenance_status,last_maintenance_days_ago,pressure_instability,sensor_anomaly_signal
M001,L1,2026-01-07 00:00:00,Night,75.93,2.631,98.33,59.6,169.73,3,scheduled,17,0.44,0.165
M001,L1,2026-01-07 01:00:00,Night,74.3,2.501,96.7,55.55,166.44,3,scheduled,17,1.19,0.255
M001,L1,2026-01-07 02:00:00,Night,78.58,2.797,101.05,55.29,166.9,3,scheduled,17,3.16,0.492
M001,L1,2026-01-07 03:00:00,Night,79.59,2.537,100.23,57.03,169.32,3,scheduled,17,2.34,0.393
M001,L1,2026-01-07 04:00:00,Night,81.55,2.731,103.96,56.3,166.99,3,scheduled,17,6.07,1.119
M001,L1,2026-01-07 05:00:00,Night,79.38,2.634,98.56,57.69,171.73,3,scheduled,17,0.67,0.193
M001,L1,2026-01-07 06:00:00,Night,78.37,3.073,102.47,60.02,174.18,3,scheduled,17,4.58,0.908
M001,L1,2026-01-07 07:00:00,Night,81.36,2.464,99.43,54.86,168.75,3,scheduled,17,1.54,0.542
M001,L1,2026-01-07 08:00:00,Day,76.57,2.693,103.03,56.48,170.13,3,scheduled,17,5.14,0.729
M001,L1,2026-01-07 09:00:00,Day,76.75,2.737,99.46,57.66,172.94,3,scheduled,17,1.57,0.301
M001,L1,2026-01-07 10:00:00,Day,78.86,2.779,99.95,54.62,168.41,3,scheduled,17,2.06,0.36
M001,L1,2026-01-07 11:00:00,Day,77.56,2.879,98.73,58.49,172.37,3,scheduled,17,0.84,0.284
M001,L1,2026-01-07 12:00:00,Day,77.48,2.775,97.15,57.44,162.83,3,scheduled,17,0.74,0.202
M001,L1,2026-01-07 13:00:00,Day,76.01,2.066,94.2,57.66,169.18,3,scheduled,17,3.69,0.555
M001,L1,2026-01-07 14:00:00,Day,73.61,2.595,98.88,55.88,173.39,3,scheduled,17,0.99,0.231
M001,L1,2026-01-07 15:00:00,Day,74.79,2.797,98.8,57.05,166.86,3,scheduled,17,0.91,0.222
M001,L1,2026-01-07 16:00:00,Evening,75.28,2.796,93.17,56.28,167.12,3,scheduled,17,4.72,0.679
M001,L1,2026-01-07 17:00:00,Evening,76.58,2.81,94.91,56.59,170.05,3,scheduled,17,2.98,0.479
M001,L1,2026-01-07 18:00:00,Evening,76.09,2.609,93.44,59.07,169.41,3,scheduled,17,4.45,0.647
M001,L1,2026-01-07 19:00:00,Evening,73.29,2.889,96.28,53.66,167.67,3,scheduled,17,1.61,0.386
M001,L1,2026-01-07 20:00:00,Evening,76.47,2.876,96.83,53.92,168.75,3,scheduled,17,1.06,0.308
M001,L1,2026-01-07 21:00:00,Evening,75.27,2.709,97.65,59.84,175.53,3,scheduled,17,0.24,0.141
M001,L1,2026-01-07 22:00:00,Evening,77.87,2.782,97.2,58.38,171.17,3,scheduled,17,0.69,0.196
M001,L1,2026-01-07 23:00:00,Evening,76.59,2.963,97.02,55.31,168.06,3,scheduled,17,0.87,0.364
M001,L1,2026-01-08 00:00:00,Night,78.7,2.884,98.41,58.37,170.39,3,scheduled,17,0.52,0.251
M001,L1,2026-01-08 01:00:00,Night,79.3,2.964,95.87,60.1,171.56,3,scheduled,17,2.02,0.502
M001,L1,2026-01-08 02:00:00,Night,75.98,2.661,96.88,56.98,168.52,3,scheduled,17,1.01,0.233
M001,L1,2026-01-08 03:00:00,Night,78.34,3.015,100.11,57.58,172.12,3,scheduled,17,2.22,0.572
M001,L1,2026-01-08 04:00:00,Night,80.05,2.435,99.08,51.98,166.31,3,scheduled,17,1.19,0.265
M001,L1,2026-01-08 05:00:00,Night,79.26,3.105,102.43,57.32,170.14,3,scheduled,17,4.54,0.932
M001,L1,2026-01-08 06:00:00,Night,80.07,2.771,100.13,59.08,170.38,3,scheduled,17,2.24,0.393
M001,L1,2026-01-08 07:00:00,Night,80.5,3.027,98.13,59.05,174.32,3,scheduled,17,0.24,0.437
M001,L1,2026-01-08 08:00:00,Day,77.44,2.606,98.35,55.85,169.99,3,scheduled,17,0.46,0.167
M001,L1,2026-01-08 09:00:00,Day,75.81,2.822,97.32,56.48,169.57,3,scheduled,17,0.57,0.201
M001,L1,2026-01-08 10:00:00,Day,79.9,2.495,101.43,57.15,170.74,3,scheduled,17,3.54,0.538
M001,L1,2026-01-08 11:00:00,Day,76.49,2.823,98.09,59.63,170.35,3,scheduled,17,0.2,0.157
M001,L1,2026-01-08 12:00:00,Day,77.4,2.627,97.63,54.83,169.16,3,scheduled,17,0.26,0.144
M001,L1,2026-01-08 13:00:00,Day,77.39,2.729,96.77,54.75,167.68,3,scheduled,17,1.12,0.246
M001,L1,2026-01-08 14:00:00,Day,73.05,2.579,96.92,59.37,176.91,3,scheduled,17,0.97,0.229
M001,L1,2026-01-08 15:00:00,Day,74.03,3.001,96.45,56.58,170.55,3,scheduled,17,1.44,0.467
M001,L1,2026-01-08 16:00:00,Evening,75.52,2.845,94.9,54.0,163.82,3,scheduled,17,2.99,0.511
M001,L1,2026-01-08 17:00:00,Evening,76.2,2.769,94.32,56.88,171.48,3,scheduled,17,3.57,0.541
M001,L1,2026-01-08 18:00:00,Evening,75.48,2.696,97.58,60.11,172.46,3,scheduled,17,0.31,0.15
M001,L1,2026-01-08 19:00:00,Evening,76.64,3.064,97.49,58.13,172.72,3,scheduled,17,0.4,0.399
M001,L1,2026-01-08 20:00:00,Evening,76.17,2.61,96.94,54.08,165.23,3,scheduled,17,0.95,0.227
M001,L1,2026-01-08 21:00:00,Evening,77.52,2.986,98.76,56.31,167.14,3,scheduled,17,0.87,0.385
M001,L1,2026-01-08 22:00:00,Evening,75.69,2.843,96.68,59.19,170.18,3,scheduled,17,1.21,0.297
M001,L1,2026-01-08 23:00:00,Evening,76.9,2.631,97.94,56.87,167.38,3,scheduled,17,0.05,0.118
M001,L1,2026-01-09 00:00:00,Night,77.36,2.864,97.17,60.9,172.38,3,scheduled,17,0.72,0.257
M001,L1,2026-01-09 01:00:00,Night,77.76,2.458,96.54,56.34,166.9,3,scheduled,17,1.35,0.275
M001,L1,2026-01-09 02:00:00,Night,80.64,2.868,101.49,57.07,170.96,3,scheduled,17,3.6,0.722
M001,L1,2026-01-09 03:00:00,Night,78.72,2.904,102.85,51.73,162.07,3,scheduled,17,4.96,0.802
M001,L1,2026-01-09 04:00:00,Night,78.28,2.906,101.17,57.99,170.09,3,scheduled,17,3.28,0.602
M001,L1,2026-01-09 05:00:00,Night,80.83,3.122,100.4,59.09,173.61,3,scheduled,17,2.51,0.853
M001,L1,2026-01-09 06:00:00,Night,78.46,3.051,100.33,56.93,174.49,3,scheduled,17,2.44,0.632
M001,L1,2026-01-09 07:00:00,Night,75.51,2.602,97.65,56.11,167.74,3,scheduled,17,0.24,0.142
M001,L1,2026-01-09 08:00:00,Day,75.35,2.586,98.33,61.6,176.36,3,scheduled,17,0.44,0.165
M001,L1,2026-01-09 09:00:00,Day,76.52,2.698,97.45,53.3,166.74,3,scheduled,17,0.44,0.165
M001,L1,2026-01-09 10:00:00,Day,75.43,2.748,96.19,55.48,168.72,3,scheduled,17,1.7,0.317
M001,L1,2026-01-09 11:00:00,Day,76.81,2.838,96.09,58.55,168.91,3,scheduled,17,1.8,0.363
M001,L1,2026-01-09 12:00:00,Day,76.75,2.761,95.37,56.33,170.14,3,scheduled,17,2.52,0.415
M001,L1,2026-01-09 13:00:00,Day,76.31,2.738,99.69,58.84,170.06,3,scheduled,17,1.8,0.329
M001,L1,2026-01-09 14:00:00,Day,76.1,3.111,99.84,54.6,166.62,3,scheduled,17,1.95,0.627
M001,L1,2026-01-09 15:00:00,Day,76.72,2.573,93.76,56.01,169.54,3,scheduled,17,4.13,0.608
M001,L1,2026-01-09 16:00:00,Evening,75.29,2.717,94.39,55.47,166.03,3,scheduled,17,3.5,0.532
M001,L1,2026-01-09 17:00:00,Evening,78.48,2.901,97.02,55.93,169.28,3,scheduled,17,0.87,0.308
M001,L1,2026-01-09 18:00:00,Evening,74.22,2.328,92.78,53.21,159.81,3,scheduled,17,5.11,0.726
M001,L1,2026-01-09 19:00:00,Evening,73.6,3.101,95.31,59.58,172.63,3,scheduled,17,2.58,0.693
M001,L1,2026-01-09 20:00:00,Evening,76.54,2.668,96.59,58.42,168.84,3,scheduled,17,1.3,0.268
M001,L1,2026-01-09 21:00:00,Evening,76.48,2.953,95.0,54.63,165.64,3,scheduled,17,2.89,0.597
M001,L1,2026-01-09 22:00:00,Evening,76.14,2.907,95.05,56.98,171.36,3,scheduled,17,2.84,0.549
M001,L1,2026-01-09 23:00:00,Evening,77.28,3.145,99.43,54.87,173.68,3,scheduled,17,1.54,0.608
M001,L1,2026-01-10 00:00:00,Night,76.91,3.145,97.83,56.07,165.65,3,scheduled,17,0.06,0.431
M001,L1,2026-01-10 01:00:00,Night,77.87,2.592,100.25,60.39,169.65,3,scheduled,17,2.36,0.396
M001,L1,2026-01-10 02:00:00,Night,78.99,2.769,97.63,58.73,171.21,3,scheduled,17,0.26,0.144
M001,L1,2026-01-10 03:00:00,Night,81.52,2.821,101.39,57.21,173.01,3,scheduled,17,3.5,0.825
M001,L1,2026-01-10 04:00:00,Night,78.42,2.913,99.54,55.12,170.89,3,scheduled,17,1.65,0.411
M001,L1,2026-01-10 05:00:00,Night,80.27,3.049,103.09,60.24,172.42,3,scheduled,17,5.2,1.009
M001,L1,2026-01-10 06:00:00,Night,79.9,2.791,100.14,55.65,173.61,3,scheduled,17,2.25,0.382
M001,L1,2026-01-10 07:00:00,Night,79.83,2.877,102.4,52.13,162.46,3,scheduled,17,4.51,0.723
M001,L1,2026-01-10 08:00:00,Day,78.34,2.794,100.19,54.47,168.41,3,scheduled,17,2.3,0.389
M001,L1,2026-01-10 09:00:00,Day,79.66,2.931,99.68,56.16,169.25,3,scheduled,17,1.79,0.445
M001,L1,2026-01-10 10:00:00,Day,73.96,2.829,100.33,54.0,165.64,3,scheduled,17,2.44,0.431
M001,L1,2026-01-10 11:00:00,Day,74.83,2.609,98.4,53.03,167.78,3,scheduled,17,0.51,0.174
M001,L1,2026-01-10 12:00:00,Day,76.9,2.738,93.47,55.1,171.48,3,scheduled,17,4.42,0.643
M001,L1,2026-01-10 13:00:00,Day,71.9,2.721,95.06,58.52,167.79,3,scheduled,17,2.83,0.452
M001,L1,2026-01-10 14:00:00,Day,75.65,2.885,99.61,56.61,170.45,3,scheduled,17,1.72,0.395
M001,L1,2026-01-10 15:00:00,Day,72.86,2.997,94.7,55.93,168.72,3,scheduled,17,3.19,0.673
M001,L1,2026-01-10 16:00:00,Evening,73.24,2.908,97.39,57.59,165.72,3,scheduled,17,0.5,0.27
